"Indicator","PUBLISH STATES","Year","WHO region","Country","Display Value","Numeric","Low","High","Comments"
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Albania","1400 [1300-1400]","1400.00000","1300.00000","1400.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Angola","26 [22-30]","26.00000","22.00000","30.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Armenia","3400 [2800-4300]","3400.00000","2800.00000","4300.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Azerbaijan","46 [35-60]","46.00000","35.00000","60.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Bahrain","140","140.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Belgium","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Benin","38 400","38400.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Bolivia (Plurinational State of)","21 000 [13 000-31 000]","21000.00000","13000.00000","31000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Brunei Darussalam","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Burkina Faso","94 000 [72 000-120 000]","94000.00000","72000.00000","120000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Cambodia","87 [75->95]","87.00000","75.00000","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Central African Republic","110 000 [96 000-130 000]","110000.00000","96000.00000","130000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","China","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Comoros","50","50.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Côte d'Ivoire","46 [32-63]","46.00000","32.00000","63.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Cuba","19 500","19500.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Czechia","2900 [2500-3300]","2900.00000","2500.00000","3300.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Djibouti","2500","2500.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Dominican Republic","67 000 [52 000-85 000]","67000.00000","52000.00000","85000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Americas","El Salvador","48 [43-53]","48.00000","43.00000","53.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Estonia","5700 [5100-6400]","5700.00000","5100.00000","6400.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Finland","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Gabon","33 200","33200.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Ghana","40 [33-47]","40.00000","33.00000","47.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Grenada","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Guinea","120 000 [97 000-140 000]","120000.00000","97000.00000","140000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Honduras","11 500","11500.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Iceland","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Eastern Mediterranean","Iran (Islamic Republic of)","19 [10-35]","19.00000","10.00000","35.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Israel","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Japan","82 [70-95]","82.00000","70.00000","95.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Kazakhstan","11 400","11400.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Kyrgyzstan","39 [28-51]","39.00000","28.00000","51.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Latvia","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Lesotho","320 000 [290 000-340 000]","320000.00000","290000.00000","340000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Europe","Luxembourg","830","830.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Malawi","1 000 000 [980 000-1 100 000]","1000000.00000","980000.00000","1100000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Africa","Mali","32 [26-38]","32.00000","26.00000","38.00000",""
"Estimated number of people (all ages) living with HIV","Published","2017","Africa","Mauritania","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Micronesia (Federated States of)","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Mongolia","180","180.00000","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","South-East Asia","Myanmar","66 [58-77]","66.00000","58.00000","77.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Western Pacific","Nauru","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Netherlands","23 000 [21 000-25 000]","23000.00000","21000.00000","25000.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Africa","Nigeria","1 040 000","1040000.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Norway","5100 [4200-5700]","5100.00000","4200.00000","5700.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Western Pacific","Palau","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Paraguay","20 000 [13 000-43 000]","20000.00000","13000.00000","43000.00000",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Poland","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Qatar","130","130.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Western Pacific","Republic of Korea","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","Russian Federation","36 [28-44]","36.00000","28.00000","44.00000",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Americas","Saint Kitts and Nevis","No data","","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Americas","Saint Vincent and the Grenadines","No data","","","",""
"Estimated antiretroviral therapy coverage among people living with HIV (%)","Published","2017","Europe","San Marino","No data","","","",""
"Reported number of people receiving antiretroviral therapy","Published","2017","Eastern Mediterranean","Saudi Arabia","5700","5700.00000","","",""
"Estimated number of people (all ages) living with HIV","Published","2017","Europe","Serbia","2700 [2000-3400]","2700.00000","2000.00000","3400.00000",""
